gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,23994,2304,4096,54,0,131.878,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3434.02,1246.78,0.0
gfx950,256,23994,4096,2048,54,0,125.6349,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3204.15,1793.47,0.0
gfx950,256,24002,1280,4096,54,0,74.0308,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3399.66,1529.4,0.0
gfx950,256,24002,4096,1024,54,0,88.9994,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2262.3,2370.92,0.0
gfx950,256,24004,9216,4096,54,0,434.6435,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4169.49,1174.47,0.0
gfx950,256,24007,4608,4096,54,0,227.6061,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3981.59,1229.55,0.0
gfx950,256,24008,1280,4096,54,0,69.208,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3637.47,1636.38,0.0
gfx950,256,24008,4096,1024,54,0,89.6728,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2245.87,2353.7,0.0
gfx950,256,24012,9216,4096,54,0,428.2575,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4233.07,1192.37,0.0
gfx950,256,24024,9216,4096,54,0,426.6075,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4251.57,1197.55,0.0
gfx950,256,24037,9216,4096,54,0,430.8698,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4211.79,1186.33,0.0
gfx950,256,24045,1280,4096,54,0,71.1248,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3544.9,1594.67,0.0
gfx950,256,24045,4096,1024,54,0,88.801,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2271.42,2380.43,0.0
gfx950,256,24053,9216,4096,54,0,431.5896,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4207.56,1185.11,0.0
gfx950,256,24055,9216,4096,54,0,427.8402,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4244.79,1195.59,0.0
gfx950,256,24063,2304,4096,54,0,130.6708,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3475.71,1261.81,0.0
