gfx,cu_num,M,N,K,outdtype,bias,bpreshuffle,libtype,kernelId,splitK,us,kernelName,errRatio,tflops,bw
gfx950,256,32,6144,6144,torch.bfloat16,False,True,flydsl,232,1,12.2085,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x7_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,197.89,3140.32
gfx950,256,64,6144,6144,torch.bfloat16,False,True,flydsl,906,1,14.4751,flydsl_mxfp8_bf16_bp1_bd1_t32x32x512x2_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,333.8,2689.33
gfx950,256,128,6144,6144,torch.bfloat16,False,True,flydsl,884,1,16.2632,flydsl_mxfp8_bf16_bp1_bd1_t32x64x512x2_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,594.21,2466.18
gfx950,256,256,6144,6144,torch.bfloat16,False,True,flydsl,2134,1,22.6335,flydsl_mxfp8_bf16_bp1_bd1_t64x96x512x4_ks1_w1x2x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,853.93,1876.3
gfx950,256,512,6144,6144,torch.bfloat16,False,True,flydsl,2069,1,31.7794,flydsl_mxfp8_bf16_bp1_bd1_t128x96x512x2_ks1_w2x2x2_mma16x16x128_bias0_gm4_pft_gfx950,0.0,1216.34,1484.8
gfx950,256,1024,6144,6144,torch.bfloat16,False,True,flydsl,1081,1,54.191,flydsl_mxfp8_bf16_bp1_bd0_t256x128x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,1426.61,1044.88
gfx950,256,2048,6144,6144,torch.bfloat16,False,True,flydsl,341,1,83.313,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,1855.88,906.19
gfx950,256,4096,6144,6144,torch.bfloat16,False,True,flydsl,302,1,180.1384,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,1716.67,628.66
gfx950,256,8192,6144,6144,torch.bfloat16,False,True,flydsl,302,1,303.6897,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,2036.54,621.5
gfx950,256,16384,6144,6144,torch.bfloat16,False,True,flydsl,303,1,565.0548,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,2189.08,601.25
gfx950,256,32768,6144,6144,torch.bfloat16,False,True,flydsl,303,1,1039.9135,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,2378.95,617.1
